,trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,date_time,strike,expire_date,option_type
99,21,113074207,1609746485622,3,0.01,0.0104804,128.76,BTC-15JAN21-44000-C,32116.65,buy,0.3,2021-01-04 07:48:05.622,44000,15JAN21,C
98,25,113074209,1609746486186,1,0.0135,0.01328467,116.05,BTC-5JAN21-33000-C,32116.65,buy,0.1,2021-01-04 07:48:06.186,33000,5JAN21,C
97,22,113074210,1609746486188,3,0.01,0.0104991,128.76,BTC-15JAN21-44000-C,32116.65,buy,0.2,2021-01-04 07:48:06.188,44000,15JAN21,C
96,23,113074214,1609746486414,3,0.01,0.0104991,128.75,BTC-15JAN21-44000-C,32120.98,buy,0.2,2021-01-04 07:48:06.414,44000,15JAN21,C
95,24,113074229,1609746489877,3,0.01,0.01050711,128.6,BTC-15JAN21-44000-C,32139.12,buy,0.1,2021-01-04 07:48:09.877,44000,15JAN21,C
94,832,113074398,1609746519504,0,0.0145,0.01509782,121.26,BTC-8JAN21-36000-C,32199.22,buy,1.0,2021-01-04 07:48:39.504,36000,8JAN21,C
93,122,113074400,1609746519971,2,0.099,0.09125552,111.02,BTC-15JAN21-31000-C,32197.11,buy,1.0,2021-01-04 07:48:39.971,31000,15JAN21,C
92,151,113074442,1609746525573,2,0.12,0.1260023,93.34,BTC-29JAN21-34000-P,32218.25,sell,0.1,2021-01-04 07:48:45.573,34000,29JAN21,P
91,2182,113074558,1609746544845,3,0.042,0.04258946,106.12,BTC-29JAN21-40000-C,32226.72,buy,20.0,2021-01-04 07:49:04.845,40000,29JAN21,C
90,1965,113074748,1609746575449,2,0.017,0.01678142,130.0,BTC-29JAN21-52000-C,32235.64,buy,3.0,2021-01-04 07:49:35.449,52000,29JAN21,C
89,19,113075024,1609746646263,2,0.0005,0.00085122,156.89,BTC-5JAN21-38500-C,32210.99,sell,0.5,2021-01-04 07:50:46.263,38500,5JAN21,C
88,120,113075067,1609746654539,2,0.004,0.00340171,146.31,BTC-5JAN21-35500-C,32202.22,buy,5.0,2021-01-04 07:50:54.539,35500,5JAN21,C
87,20,113075069,1609746654926,3,0.0005,0.00084008,157.17,BTC-5JAN21-38500-C,32202.22,buy,9.5,2021-01-04 07:50:54.926,38500,5JAN21,C
86,90,113075253,1609746700905,2,0.0055,0.00529663,127.42,BTC-5JAN21-34500-C,32200.48,buy,0.1,2021-01-04 07:51:40.905,34500,5JAN21,C
85,1966,113075291,1609746713947,2,0.0165,0.016459,129.43,BTC-29JAN21-52000-C,32161.87,buy,1.0,2021-01-04 07:51:53.947,52000,29JAN21,C
84,87,113075546,1609746742958,0,0.032,0.03141053,114.88,BTC-5JAN21-32500-P,32025.69,buy,0.1,2021-01-04 07:52:22.958,32500,5JAN21,P
83,1018,113075776,1609746758959,2,0.0835,0.08373721,98.44,BTC-29JAN21-34000-C,32008.7,sell,0.1,2021-01-04 07:52:38.959,34000,29JAN21,C
82,643,113075835,1609746759440,2,0.05,0.04907849,116.57,BTC-8JAN21-32000-C,32001.02,sell,0.5,2021-01-04 07:52:39.440,32000,8JAN21,C
81,644,113075837,1609746759536,3,0.05,0.04907849,116.57,BTC-8JAN21-32000-C,32001.02,sell,0.2,2021-01-04 07:52:39.536,32000,8JAN21,C
80,1019,113075862,1609746760271,3,0.0835,0.08366706,98.59,BTC-29JAN21-34000-C,31992.76,sell,0.2,2021-01-04 07:52:40.271,34000,29JAN21,C
