,trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,date_time
0,533,240793450,1675411194080,3,0.0285,0.02916247,52.06,BTC-10FEB23-23500-C,23453.87,buy,1.4,2023-02-03 07:59:54.080
1,532,240793436,1675411191577,3,0.0285,0.02916383,52.06,BTC-10FEB23-23500-C,23452.77,buy,20.5,2023-02-03 07:59:51.577
2,530,240793434,1675411191479,2,0.0285,0.02916383,52.06,BTC-10FEB23-23500-C,23452.77,sell,3.6,2023-02-03 07:59:51.479
3,531,240793435,1675411191479,3,0.0285,0.02916383,52.06,BTC-10FEB23-23500-C,23452.77,sell,2.5,2023-02-03 07:59:51.479
4,539,240793429,1675411189846,0,0.002,0.0016031,74.2,BTC-10FEB23-28000-C,23452.88,buy,2.0,2023-02-03 07:59:49.846
5,1123,240793422,1675411184814,2,0.01,0.01027186,57.13,BTC-10FEB23-25000-C,23452.23,sell,2.0,2023-02-03 07:59:44.814
6,21,240793416,1675411179845,2,0.0185,0.01892295,61.35,BTC-28APR23-34000-C,23452.23,sell,1.3,2023-02-03 07:59:39.845
7,92,240793411,1675411178644,2,0.098,0.09826995,54.46,BTC-28APR23-24000-C,23452.11,buy,0.8,2023-02-03 07:59:38.644
8,72,240793389,1675411176303,2,0.089,0.08893929,54.61,BTC-28APR23-23000-P,23452.11,sell,0.1,2023-02-03 07:59:36.303
9,83,240793386,1675411175716,2,0.112,0.11180665,54.7,BTC-28APR23-24000-P,23452.11,sell,7.6,2023-02-03 07:59:35.716
10,84,240793387,1675411175716,3,0.112,0.11180665,54.7,BTC-28APR23-24000-P,23452.11,sell,0.1,2023-02-03 07:59:35.716
11,76,240793377,1675411166708,2,0.41,0.40965745,61.55,BTC-29SEP23-15000-C,23452.17,sell,1.0,2023-02-03 07:59:26.708
12,839,240793371,1675411161177,3,0.0205,0.02039405,54.0,BTC-10FEB23-24000-C,23451.8,sell,0.8,2023-02-03 07:59:21.177
13,245,240793350,1675411145071,1,0.0615,0.06180269,53.58,BTC-24FEB23-24000-P,23451.68,buy,5.1,2023-02-03 07:59:05.071
14,244,240793349,1675411144931,1,0.0615,0.06180269,53.58,BTC-24FEB23-24000-P,23451.68,buy,1.4,2023-02-03 07:59:04.931
15,242,240793347,1675411144916,0,0.0615,0.06180269,53.58,BTC-24FEB23-24000-P,23451.68,sell,4.5,2023-02-03 07:59:04.916
16,243,240793348,1675411144916,1,0.0615,0.06180269,53.58,BTC-24FEB23-24000-P,23451.68,sell,4.0,2023-02-03 07:59:04.916
17,1729,240793338,1675411138200,3,0.009,0.00917257,60.36,BTC-24FEB23-28000-C,23451.88,sell,4.9,2023-02-03 07:58:58.200
